"","observed","chao1","diversity_inverse_simpson","diversity_gini_simpson","diversity_shannon","diversity_fisher","diversity_coverage","evenness_camargo","evenness_pielou","evenness_simpson","evenness_evar","evenness_bulla","dominance_dbp","dominance_dmn","dominance_absolute","dominance_relative","dominance_simpson","dominance_core_abundance","dominance_gini","rarity_log_modulo_skewness","rarity_low_abundance","rarity_rare_abundance"
"16S-LM-6-1",636,636,346.840360796885,0.997116829201473,6.09102053353298,107.431704364137,134,0.786291544731824,0.943583760246299,0.545346479240385,0.405576100986328,0.670280311645504,0.0099491266320828,0.0183946069217853,397,0.0099491266320828,0.00288317079852658,0.0027817457334035,0.965577653951527,1.66091123495809,0.416434854522216,0.938926897726988
"16S-LM-6-16",520,520,252.48712763926,0.996039402050513,5.80022572156426,85.9951779047449,92,0.748063297018385,0.927467939453088,0.485552168537038,0.358179249108846,0.617066963639003,0.0110556643048165,0.0216702048468473,401,0.0110556643048165,0.00396059794948734,0.00250889140084365,0.974809796549678,1.73465492129135,0.28744727192523,0.9491053458686
"16S-LM-6-19",549,549,281.417039160902,0.996446554895959,5.92627607883253,93.9443201535829,112,0.767943132076543,0.939471083684352,0.512599342733884,0.430050137397774,0.663669163428869,0.0138579559514972,0.026818856718634,448,0.0138579559514972,0.00355344510404092,0,0.970706340412761,1.71498463458837,0.327981935164563,0.961643157634249
"16S-LM-6-8",424,424,232.193215209257,0.99569324194465,5.72252997210639,68.8364111521998,91,0.838477462103073,0.945914396799979,0.547625507569002,0.532480617175868,0.68578094732107,0.0156591293647131,0.0299953853253346,509,0.0156591293647131,0.00430675805534964,0.00101522842639594,0.975982045282564,1.60032577437905,0.258698661744347,0.964405476080603
"16S-LM-7-14",566,566,312.213314020497,0.996797061639933,5.98064269919308,93.1015366451404,124,0.697129160348427,0.943528269109232,0.551613629011479,0.39345453112861,0.672458353419524,0.0147646043874784,0.0257579492235642,599,0.0147646043874784,0.00320293836006734,0,0.969018709520014,1.58142307756919,0.33145181168351,0.859871826472763
"16S-LM-7-22",647,647,375.728613819675,0.997338504539662,6.15023989825455,110.571567440772,142,0.733537203413903,0.950233442156823,0.580724287201971,0.465529796687109,0.68684947009547,0.00954666388439668,0.0173457144347645,366,0.00954666388439668,0.00266149546033759,0,0.963408004601234,1.6839760881987,0.443815535500026,0.908758933695028
"16S-LM-7-28",512,512,244.968123092482,0.995917836217317,5.81381061379122,80.1529347374803,86,0.556175888484256,0.931950637909357,0.478453365415005,0.438958638889444,0.631396040380227,0.0139782233993358,0.0266742338251986,665,0.0139782233993358,0.00408216378268315,0.00208096859629209,0.973995106908816,1.65847929701128,0.335330222390381,0.909467356118889
"16S-LM-7-8",592,592,350.15728331017,0.997144140511525,6.06324046486566,98.348481257693,133,0.693190570141953,0.94982911613686,0.591481897483396,0.447988999307479,0.678133478370758,0.011844583209436,0.0196253345227475,478,0.011844583209436,0.00285585948847506,0,0.966575851803356,1.6216949047274,0.353156903558331,0.939364654574289
"16S-LM-8-12",389,389,162.323216526681,0.993839451796252,5.41461350857699,55.7450119873113,57,0.424874758354842,0.9079469219054,0.417283332973474,0.379427726755684,0.55815267627541,0.0185247163559691,0.0342882961277151,1107,0.0185247163559691,0.00616054820374773,0.00177382107834934,0.983024473416322,1.6001894020244,0.202282539576291,0.639044144717025
"16S-LM-8-18",447,447,122.131265264889,0.991812088429354,5.28328583966687,66.3764357911063,41,0.363194355228823,0.865749301338978,0.27322430708029,0.28947756268477,0.4907594324584,0.0271792755781202,0.0500888035736711,1515,0.0271792755781202,0.0081879115706458,0.00111228718537522,0.984634016677461,1.7829965328943,0.231032812471969,0.8536265944278
"16S-LM-8-26",246,246,69.7890241200604,0.985671099250798,4.60861628369189,33.0507285243506,26,0.336267030494974,0.837118755448647,0.283695220000246,0.226631027874334,0.42116170880341,0.0354136018008118,0.0653857742958932,1998,0.0354136018008118,0.0143289007492019,0.00232191283078396,0.992270605228413,1.62255705355985,0.131515978659671,0.971906627200057
"16S-LM-8-4",227,227,129.547406241428,0.992280818049445,5.09000608252259,32.6399512420179,47,0.530601046054094,0.93825861364999,0.570693419565762,0.465067439052424,0.663825572437545,0.0210680321872714,0.0414630577907827,720,0.0210680321872714,0.00771918195055464,0.00737381126554499,0.987418223524358,1.36253482213489,0.0675640087783467,0.872040965618142
"16S-LM-9-1",508,508,289.866157608416,0.996550131935888,5.88951357495391,83.6927759698192,106,0.613564235724341,0.945274233541439,0.570602672457511,0.456078266327686,0.662428345229792,0.0110182160456232,0.0194618238192791,398,0.0110182160456232,0.00344986806411156,0.00171640551464481,0.972142140301202,1.65839156075155,0.306793643762804,0.865483638779691
"16S-LM-9-16",432,432,252.162557181108,0.99603430417593,5.75639256507022,69.722715934542,96,0.62100479557395,0.948580893242167,0.583709623104417,0.491943732646796,0.687650888842807,0.0137343329038304,0.0255944711256882,469,0.0137343329038304,0.00396569582407027,0.00500761391589551,0.975316020185261,1.57650713473675,0.243879582991683,0.715532388426848
"16S-LM-9-9",490,490,267.166079496794,0.996257009864862,5.85777537368081,79.9504412386006,101,0.593189622877123,0.945655798067838,0.545236896932232,0.494484857079866,0.682560585503454,0.0134670017482517,0.0265515734265734,493,0.0134670017482517,0.00374299013513803,0.00519012237762238,0.972520321230292,1.63866382776285,0.330282998251748,0.89729020979021
"16S-LR-6-1",452,452,314.090795328174,0.996816207240473,5.90391282096061,72.4903354522437,122,0.880286676684551,0.965688540440717,0.694891140106581,0.608565234410977,0.745207953875271,0.00993745092198966,0.0190625761555333,367,0.00993745092198966,0.00318379275952726,0.00259944220302727,0.970670397287137,1.5213475504108,0.268798570306788,0.964582599983754
"16S-LR-6-16",510,510,327.630181803052,0.996947778148836,5.97163289285293,83.8275962130316,125,0.721913654956464,0.957850413707678,0.642412121182455,0.524353246047512,0.711457827774269,0.0112276876958714,0.0190489167461507,412,0.0112276876958714,0.00305222185116367,0.00782122905027933,0.969136005685897,1.5658933449304,0.304210382885952,0.90282054775855
"16S-LR-6-19",493,493,290.02360641912,0.996552004809723,5.87454710341401,79.5610792019226,112,0.759479612255419,0.947429789799641,0.588283177320731,0.420126487271236,0.679950800777662,0.0117988047297817,0.0232641649780696,460,0.0117988047297817,0.00344799519027729,0.00769487264985764,0.972228188935048,1.52284437686101,0.25675225075025,0.911816759432631
"16S-LR-6-8",524,524,308.080061622156,0.99675409049604,5.93919425796838,86.556388116488,116,0.687493602341258,0.948527053519898,0.587939048897244,0.44764005354429,0.681347320158341,0.0111519107847137,0.0204542363661091,410,0.0111519107847137,0.0032459095039602,0.00930232558139535,0.970440651509961,1.59942093047335,0.316115871073031,0.874337005303958
"16S-LR-7-14",527,527,332.242630535848,0.996990151449297,6.0009011967135,83.474589941122,126,0.584435647181053,0.957509042551728,0.630441424166695,0.547827406239089,0.710460362727869,0.0100254441858948,0.0192462431768262,461,0.0100254441858948,0.00300984855070277,0.00504534284409456,0.968246226456642,1.52936791176578,0.341365287171346,0.776874062153404
"16S-LR-7-22",540,540,304.997680920737,0.996721286545586,5.9842176175708,86.6346203463395,117,0.588625269758609,0.95114866972453,0.564810520223587,0.600513227133252,0.688912872598391,0.0125800445070167,0.0224124619646669,554,0.0125800445070167,0.00327871345441436,0.00124892138607566,0.968846909510063,1.56954410115671,0.361460556791862,0.702075480267042
"16S-LR-7-28",568,568,229.290658289752,0.995638723324104,5.86618516026586,90.3256781436889,91,0.515683884675897,0.924956299787894,0.40368073642562,0.506303810320994,0.63206847026831,0.0181128809577778,0.0345154443734674,879,0.0181128809577778,0.00436127667589628,0.0024521420181747,0.971854150100995,1.64867185468437,0.394217890333615,0.627480475591914
"16S-LR-7-8",544,544,376.321949453361,0.997342700840457,6.08367259268801,87.7896280205457,147,0.652479278463274,0.965823402327716,0.691768289436326,0.565276931646375,0.746084025412438,0.00850668216153399,0.0166414875072632,366,0.00850668216153399,0.002657299159543,0.00276583381754794,0.964842146817745,1.55194762860671,0.372620569436374,0.788471818710052
"16S-LR-8-12",532,532,272.835002442435,0.996334781127612,5.87225030655202,82.1278807112714,99,0.492899888923659,0.935571745714676,0.512847748951945,0.430574985156788,0.623140610248578,0.0118297712785902,0.0224034495688039,631,0.0118297712785902,0.00366521887238786,0.00213723284589426,0.972835180778276,1.60223300471129,0.304761904761905,0.684364454443195
"16S-LR-8-18",583,583,386.63416758428,0.997413575716166,6.12555066700013,94.1389473907346,148,0.611457653590327,0.96189865149215,0.663180390367548,0.542394930678086,0.721829088037338,0.00791855203619909,0.0147276366167769,364,0.00791855203619909,0.00258642428383419,0.00247998607727115,0.963797183795776,1.56394058685145,0.381852593108249,0.757178907065785
"16S-LR-8-26",500,500,308.486214047037,0.996758364054974,5.94211834526086,82.4013118232831,114,0.673181631215664,0.956153348876414,0.616972428094074,0.583317620893459,0.699134287733094,0.010452176362868,0.0195520495844485,371,0.010452176362868,0.00324163594502645,0.00270460628257501,0.970208843909631,1.61905745775145,0.325736019157628,0.755120439498521
"16S-LR-8-4",207,207,146.138813506675,0.993157190920027,5.146995768505,34.3109365194722,57,0.856213092454217,0.965172919863145,0.705984606312441,0.749827778297065,0.752524455503262,0.0196875218944861,0.0353814895256779,281,0.0196875218944861,0.00684280907997328,0,0.986241732025931,1.60546365688773,0.0585020668394871,0.887900231205773
"16S-LR-9-1",374,374,269.050017939252,0.996283218980399,5.73397653767736,60.4343605257825,103,0.716890616146387,0.967881322778093,0.719385074703883,0.666807760845064,0.755532827108273,0.00908812417032574,0.0178699070764832,267,0.00908812417032574,0.00371678101960129,0.00241669219510535,0.975281243003195,1.52357384771074,0.163586235065863,0.86687770175976
"16S-LR-9-16",318,318,211.14613898859,0.995263943708419,5.52914508591287,47.5805249154072,81,0.639304507296118,0.959579274568196,0.663981569146511,0.611758236842229,0.729753413841395,0.014563746016697,0.0273103157672961,553,0.014563746016697,0.00473605629158124,0.0025019093518738,0.980067255770052,1.37061287487425,0.131495088356904,0.720365542124253
"16S-LR-9-9",331,331,214.415917475287,0.995336167147594,5.53340733508893,52.7814155435414,81,0.614749376298171,0.953687425367176,0.647782228022016,0.508287877995965,0.696281075745073,0.0116959064327485,0.0230689197431206,326,0.0116959064327485,0.00466383285240591,0.00351594733254404,0.980216538510007,1.48587207330657,0.140099738097801,0.700104043339432
"16S-TTL-6-1",237,237,137.650328415016,0.992735215298688,5.15166918584242,40.1534393751715,53,0.959095459095459,0.942138354896178,0.58080307348108,0.489323745673158,0.686436340038035,0.0195877695877696,0.0377422877422877,287,0.0195877695877696,0.00726478470131214,0,0.986498421674298,1.68400252961672,0.0641550641550642,0.962257712257712
"16S-TTL-6-16",448,448,246.845962129161,0.995948890590008,5.75254325780544,72.6204073654774,94,0.81320321429603,0.942299442225303,0.550995451181163,0.448284736827116,0.668138533291177,0.0133733860951446,0.0258802460934115,463,0.0133733860951446,0.00405110940999211,0,0.975580142124798,1.59484807269712,0.234193119782791,0.969671586609283
"16S-TTL-6-19",384,384,128.33701860434,0.992208015965503,5.28804096761918,57.537373215928,42,0.503025512279313,0.888650413948926,0.334210985948803,0.356853016924894,0.546480827284104,0.025504034474419,0.0465888353890465,1160,0.025504034474419,0.00779198403449727,0,0.984567396488188,1.65128840760198,0.213904096035882,0.93241430864279
"16S-TTL-6-8",504,504,299.92020990771,0.996665779874228,5.92337687278649,84.9608715053447,113,0.852918123921035,0.951917118827437,0.595079781562916,0.539269129701457,0.687372726884576,0.0124287771586,0.022791309248012,397,0.0124287771586,0.00333422012577184,0,0.970881726898853,1.67495229824905,0.314977146077265,0.968787176757874
"16S-TTL-7-14",303,303,182.420282488347,0.994518153429217,5.40170100384808,47.8257173946444,68,0.683236925667472,0.945389150616141,0.602047136925237,0.483023967159743,0.674693028238993,0.0158883361793749,0.0298463137575173,428,0.0158883361793749,0.00548184657078294,0,0.982836410876118,1.5072685208163,0.134382656470414,0.930061622986116
"16S-TTL-7-22",197,197,63.3543329542904,0.984215759943026,4.49670195293068,26.8053022611399,24,0.443276201449902,0.851131658707551,0.321595598752743,0.273595209597747,0.446319569164264,0.0386960487781459,0.0727111239137741,1612,0.0386960487781459,0.0157842400569743,0,0.99308110478939,1.61108617669527,0.105405924432282,0.898410869460848
"16S-TTL-7-28",327,327,183.035106590298,0.994536567226754,5.44290767249646,49.7933313611025,68,0.754772743189299,0.940059605220565,0.559740387126295,0.393692624186933,0.668399444262321,0.0169918009612666,0.0322589765337857,601,0.0169918009612666,0.00546343277324594,0,0.981994643844033,1.52690239250417,0.14659315804354,0.963584959004806
"16S-TTL-7-8",449,449,242.059977425758,0.995868792476002,5.71852199492456,71.8037581714099,92,0.782756019615567,0.936384569051235,0.53910908112641,0.351062064625059,0.659875516423911,0.0132649499207862,0.0261271179613866,494,0.0132649499207862,0.00413120752399768,0.00193335302489192,0.976356827773571,1.56079531044184,0.200961306087377,0.962729250020139
"16S-TTL-8-12",493,493,337.577332690798,0.997037715796765,5.98096238755585,81.8530254759189,131,0.754727090625106,0.96459213585137,0.684741039940767,0.603407296111256,0.743167709578484,0.00786163522012579,0.0150409398362407,265,0.00786163522012579,0.00296228420323453,0.00605197579209683,0.9684166829162,1.59394511971705,0.317758395633084,0.92313397413077
"16S-TTL-8-18",550,550,311.371301161566,0.996788400227415,5.99019816725091,89.4037402214636,118,0.675058958323388,0.949330546470173,0.566129638475574,0.519355759948335,0.685489173256505,0.0111233112140163,0.0216737480307443,466,0.0111233112140163,0.00321159977258506,0.00355659521649878,0.96877269337088,1.61301177006166,0.375447558122882,0.923425788895785
"16S-TTL-8-26",140,140,59.9895517834407,0.983330430545473,4.43338354434296,23.870432872002,23,0.79184488336455,0.897147783105283,0.428496798453148,0.328219844722693,0.620728685228218,0.0466030989272944,0.0895113230035757,391,0.0466030989272944,0.0166695694545269,0,0.99344927258462,1.76028856811613,0.0262216924910608,0.670083432657926
