"ASV","Module_Color","kIN_Within"
"16S_ASV_149","red",36.7689371371242
"16S_ASV_150","red",36.8593732331663
"16S_ASV_151","yellow",42.7676917811693
"16S_ASV_152","red",36.0656494300729
"16S_ASV_153","turquoise",0.774184130426651
"16S_ASV_154","red",36.306290777846
"16S_ASV_155","turquoise",16.8012286650083
"16S_ASV_156","turquoise",15.5565623418358
"16S_ASV_157","black",31.0117774610809
"16S_ASV_158","black",31.2396502841458
"16S_ASV_159","black",34.3222250532182
"16S_ASV_160","yellow",13.283268344697
"16S_ASV_161","black",29.7486238346779
"16S_ASV_162","turquoise",3.90625424439314
"16S_ASV_163","red",36.1137776680614
"16S_ASV_164","black",34.3533941068806
"16S_ASV_165","red",36.7217030951688
"16S_ASV_166","magenta",25.8107535830752
"16S_ASV_167","turquoise",12.5124686526762
"16S_ASV_168","turquoise",16.8791380240518
"16S_ASV_169","blue",34.3391412760959
"16S_ASV_170","pink",25.2695684644824
"16S_ASV_171","yellow",45.924155064949
"16S_ASV_172","black",32.6743807198005
"16S_ASV_173","grey",0.787181349677476
"16S_ASV_174","brown",5.31429645956101
"16S_ASV_175","turquoise",2.93583867687636
"16S_ASV_176","magenta",28.7071562164509
"16S_ASV_177","green",6.21832792594938
"16S_ASV_178","magenta",25.0644995847278
"16S_ASV_179","red",34.6218529716254
"16S_ASV_180","turquoise",17.2443996137602
"16S_ASV_181","turquoise",20.1142456826911
"16S_ASV_182","pink",22.8688503671734
"16S_ASV_183","black",33.4646470853897
"16S_ASV_184","yellow",45.6844774431987
"16S_ASV_185","turquoise",0.94686291522754
"16S_ASV_186","pink",22.293704788908
"16S_ASV_187","turquoise",11.9247243712923
"16S_ASV_188","yellow",45.6859800278673
"16S_ASV_189","yellow",13.2402184336524
"16S_ASV_190","black",34.5925587854797
"16S_ASV_191","red",33.417307308876
"16S_ASV_192","red",36.959574718899
"16S_ASV_193","purple",6.99059631484378
"16S_ASV_194","red",36.8876868404732
"16S_ASV_195","brown",1.63267657213487
"16S_ASV_196","black",27.6518956778729
"16S_ASV_197","pink",16.87743352562
"16S_ASV_198","magenta",17.3069226659825
"16S_ASV_199","brown",3.47465181975387
"16S_ASV_200","black",34.2389180844841
"16S_ASV_201","black",25.4042624375835
"16S_ASV_202","yellow",45.9291226273285
"16S_ASV_203","red",33.0750889562698
"16S_ASV_204","yellow",45.9307472580284
"16S_ASV_205","magenta",28.6856825297649
"16S_ASV_206","yellow",11.3938276178866
"16S_ASV_207","pink",25.7837509039897
"16S_ASV_208","pink",28.2982454974979
"16S_ASV_209","black",28.011368501843
"16S_ASV_210","black",33.8953195078636
"16S_ASV_211","brown",10.0901880478954
"16S_ASV_212","pink",22.8507555015383
"16S_ASV_213","black",0.383149220590989
"16S_ASV_214","black",30.7362917666852
"16S_ASV_215","turquoise",2.98779438138491
"16S_ASV_216","yellow",14.2614802219982
"16S_ASV_217","yellow",42.3016480788904
"16S_ASV_218","turquoise",3.49834559936658
"16S_ASV_219","turquoise",16.1449090630613
"16S_ASV_220","turquoise",16.8938467429202
"16S_ASV_221","pink",18.12572422642
"16S_ASV_222","turquoise",18.563895251305
