"ASV","Module_Color","LM-6-1","LM-6-16","LM-6-19","LM-6-8","LM-7-14","LM-7-22","LM-7-28","LM-7-8","LM-8-12","LM-8-18","LM-8-26","LM-8-4","LM-9-1","LM-9-16","LM-9-9","LR-6-1","LR-6-16","LR-6-19","LR-6-8","LR-7-14","LR-7-22","LR-7-28","LR-7-8","LR-8-12","LR-8-18","LR-8-26","LR-8-4","LR-9-1","LR-9-16","LR-9-9","TTL-6-1","TTL-6-16","TTL-6-19","TTL-6-8","TTL-7-14","TTL-7-22","TTL-7-28","TTL-7-8","TTL-8-12","TTL-8-18","TTL-8-26","TTL-8-4","TTL-9-1","TTL-9-16","TTL-9-9"
"16S_ASV_54","black",0,0,0.0959942251611162,0,0,0,0,0.3017335342502,0,0.194846996407043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135756335132347,0.509764586503204,0,0.31312368650738,0.595473774275251,0.299895546381407,0.202272383714181,0,0,0,0,0,0,0
"16S_ASV_540","green",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258003506526031,0.239767916025517,0.280479382152067,0.381096435554222,0.33232323000083,0.26380206213731,0.311163936633766,0.260918892922326,0,0.269475873866412,0.129001753263015,0.466745904950648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16S_ASV_541","green",0,0,0,0,0,0.202259958738973,0,0,0,0,0,0,0,0,0,0.0953462589245592,0.291287632501768,0,0.182574185835055,0.226969494679685,0.30401355631656,0.360975110365009,0.316227766016838,0.264001836540903,0.33257489473209,0.25524794837866,0,0.198479065379549,0,0.415604707296817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16S_ASV_543","purple",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.437107737421819,0.370316151940865,0,0,0,0,0,0.541071242414766,0,0,0,0,0,0.285769310131881,0.394492125371305,0.376505708504147,0,0,0,0,0
"16S_ASV_544","green",0,0,0,0,0,0.166924465222397,0,0,0,0,0,0,0,0,0,0.280975743474508,0.211876475491908,0,0.147213540903638,0.23606684260939,0.257998968006192,0.38949041885226,0.302210637386981,0.211876475491908,0.349701332099016,0.245706159930645,0,0.204439882690915,0,0.438121517842122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16S_ASV_547","brown",0,0.354107115898255,0.244051487450181,0,0.335935506573513,0,0,0,0,0,0,0,0.189868788219159,0,0.456578525385568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.449660268832784,0,0.342862740661871,0,0,0.371390676354104,0,0,0,0,0
"16S_ASV_549","grey",0,0,0.294071398509586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27756805500135,0,0.322139076961583,0.439768378143648,0,0,0.241197223509996,0,0,0,0.408248290463863,0.452108964435865,0.331757280374917,0
"16S_ASV_55","yellow",0,0,0,0,0,0.126549980557657,0.328644867280126,0,0.371719042497065,0.485928625852315,0.592315784718604,0.347912101744158,0,0.102119074615727,0.139164840697663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16S_ASV_550","blue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168231646227613,0,0.534942540851425,0.386485535540969,0.202189275543126,0.304577240773969,0.374081684820627,0.512424254258326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16S_ASV_553","purple",0,0,0,0.25177657189522,0.287069459890636,0.148953028684744,0,0,0,0.154181032582613,0,0,0,0.232126529789278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23885622859741,0.35158684873421,0,0,0,0.264065496365655,0,0,0,0.531123260261801,0,0,0,0.22519581195983,0.413711123635
