,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_1,Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Microcoleaceae,Planktothrix,pseudagardhii
ASV_2,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,Terrimicrobium,NA
ASV_3,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,FukuN18-freshwater-group,NA
ASV_4,Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Aphanizomenonaceae,Aphanizomenon,NA
ASV_5,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11-clade,Clade-III,NA,NA
ASV_6,Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Aphanizomenonaceae,Dolichospermum,NA
ASV_7,Bacteria,Cyanobacteriota,Cyanophyceae,Chroococcales,Microcystaceae,Woronichinia,NA
ASV_8,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Sporichthyaceae,NA,NA
ASV_9,Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Microcoleaceae,Planktothrix,NA
ASV_10,Bacteria,Verrucomicrobiota,Verrucomicrobiae,NA,NA,NA,NA
ASV_11,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Sporichthyaceae,hgcI-clade,NA
ASV_12,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Armatimonadaceae,Armatimonas,NA
ASV_13,Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Aphanizomenonaceae,Dolichospermum,NA
ASV_14,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,FukuN18-freshwater-group,NA
ASV_15,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter,NA
ASV_16,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Pseudarcicella,NA
ASV_17,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV_18,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,NA,NA
ASV_19,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,NA
ASV_20,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,NA,NA
ASV_21,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,NA
ASV_22,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Sporichthyaceae,Candidatus-Planktophila,NA
ASV_23,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,NA,NA
ASV_24,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Perlucidibaca,NA
ASV_25,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,Terrimicrobium,NA
ASV_26,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Sporichthyaceae,hgcI-clade,NA
ASV_27,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,Terrimicrobium,NA
ASV_28,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,NA,NA
ASV_29,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseomonas,NA
ASV_30,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,CL500-29-marine-group,NA
ASV_31,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,blasticus
ASV_32,Bacteria,Cyanobacteriota,Cyanophyceae,Synechococcales,Prochlorococcaceae,Cyanobium,NA
ASV_33,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Sporichthyaceae,Candidatus-Planktophila,NA
ASV_34,Bacteria,Cyanobacteriota,Chloroplast,Chloroplast,NA,NA,NA
ASV_35,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Candidatus-Limnoluna,NA
ASV_36,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,NA
ASV_37,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Sediminibacterium,NA
ASV_38,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,NA
ASV_39,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,NA
ASV_40,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Arcticibacter,NA
ASV_41,Bacteria,Cyanobacteriota,Cyanophyceae,Synechococcales,Prochlorococcaceae,Vulcanococcus,NA
ASV_42,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,NA,NA
ASV_43,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter,NA
ASV_44,Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Aphanizomenonaceae,Aphanizomenon,NA
ASV_45,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Sporichthyaceae,hgcI-clade,NA
ASV_46,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV_47,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Candidatus-Planktoluna,NA
ASV_48,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,Terrimicrobium,NA
ASV_49,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Sporichthyaceae,Candidatus-Planktophila,NA
ASV_50,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,NA
ASV_51,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Sediminibacterium,NA
ASV_52,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter,NA
ASV_53,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Sediminibacterium,NA
ASV_54,Bacteria,Cyanobacteriota,Cyanophyceae,Synechococcales,Prochlorococcaceae,Cyanobium,NA
ASV_55,Bacteria,Cyanobacteriota,Cyanophyceae,Synechococcales,Prochlorococcaceae,Cyanobium,NA
ASV_56,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales-Incertae-Sedis,NA,NA
ASV_57,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Sporichthyaceae,hgcI-clade,NA
ASV_58,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,GKS98-freshwater-group,NA
ASV_59,Bacteria,Cyanobacteriota,Cyanophyceae,Chroococcales,Microcystaceae,Microcystis,NA
ASV_60,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Dinghuibacter,NA
ASV_61,Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Aphanizomenonaceae,Dolichospermum,NA
ASV_62,Bacteria,Cyanobacteriota,Chloroplast,Chloroplast,NA,NA,NA
ASV_63,Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Aphanizomenonaceae,Raphidiopsis,NA
ASV_64,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Roseimaritima,NA
ASV_65,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,CL500-3,NA
ASV_66,Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Aphanizomenonaceae,Dolichospermum,NA
ASV_67,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter,NA
ASV_68,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Armatimonadaceae,Armatimonas,NA
ASV_69,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Rhizorhapis,NA
ASV_70,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,Terrimicrobium,NA
ASV_71,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,NA,NA
ASV_72,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,LD29,NA
ASV_73,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales-Incertae-Sedis,Alsobacter,NA
ASV_74,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Algoriphagus,NA
ASV_75,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales-Incertae-Sedis,Alsobacter,NA
ASV_76,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Sphaerotilus,NA
ASV_77,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Ramlibacter,NA
ASV_78,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Candidatus-Aquiluna,NA
ASV_79,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseomonas,NA
ASV_80,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
ASV_81,Bacteria,Chloroflexi,Anaerolineae,RBG-13-54-9,NA,NA,NA
ASV_82,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Candidatus-Methylopumilus,NA
ASV_83,Bacteria,Cyanobacteriota,Cyanophyceae,Synechococcales,Prochlorococcaceae,Cyanobium,NA
ASV_84,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Tabrizicola,NA
ASV_85,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Rhodoluna,NA
ASV_86,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,CL500-29-marine-group,NA
ASV_87,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,NA,NA
ASV_88,Bacteria,Bacteroidota,Kapabacteria,Kapabacteriales,NA,NA,NA
ASV_89,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Candidatus-Aquirestis,NA
ASV_90,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Limnohabitans,NA
ASV_91,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Candidatus-Planktoluna,NA
ASV_92,Bacteria,Cyanobacteriota,Chloroplast,Chloroplast,NA,NA,NA
ASV_93,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,MWH-UniP1-aquatic-group,NA,NA
ASV_94,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,SH3-11,NA
ASV_95,Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Aphanizomenonaceae,Dolichospermum,NA
ASV_96,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Candidatus-Aquiluna,NA
ASV_97,Bacteria,Verrucomicrobiota,Verrucomicrobiae,NA,NA,NA,NA
ASV_98,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,SH3-11,NA
ASV_99,Bacteria,Cyanobacteriota,Cyanophyceae,Synechococcales,Prochlorococcaceae,Cyanobium,NA
ASV_100,Bacteria,Cyanobacteriota,Chloroplast,Chloroplast,NA,NA,NA
ASV_101,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Methylacidiphilales,Methylacidiphilaceae,NA,NA
ASV_102,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV_103,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,NA,NA
ASV_104,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methyloparacoccus,NA
ASV_105,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12-marine-group,NA,NA
ASV_106,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV_107,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,NA
ASV_108,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Ferruginibacter,NA
ASV_109,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Algoriphagus,NA
ASV_110,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Brevifollis,NA
ASV_111,Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Aphanizomenonaceae,Dolichospermum,NA
ASV_112,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,NA
ASV_113,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Edaphobaculum,NA
ASV_114,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Sphaerotilus,NA
ASV_115,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,CL500-3,NA
ASV_116,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,FukuN18-freshwater-group,NA
ASV_117,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Candidatus-Aquirestis,NA
ASV_118,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Sporichthyaceae,hgcI-clade,NA
ASV_119,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Candidatus-Aquirestis,NA
ASV_120,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,koreense
ASV_121,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus,rigui
ASV_122,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Sporichthyaceae,hgcI-clade,NA
ASV_123,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,NA
ASV_124,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,NA,NA
ASV_125,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,NA,NA
ASV_126,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,LD29,NA
ASV_127,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus,NA
ASV_128,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Candidatus-Limnoluna,NA
ASV_129,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Shewanellaceae,Shewanella,NA
ASV_130,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylomonas,NA
ASV_131,Bacteria,Verrucomicrobiota,Verrucomicrobiae,NA,NA,NA,NA
ASV_132,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Sporichthyaceae,NA,NA
ASV_133,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,NA,NA,NA
ASV_134,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Brevifollis,NA
ASV_135,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Brevifollis,NA
ASV_136,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,NA,NA
ASV_137,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,SH3-11,NA
ASV_138,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas,NA
ASV_139,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylorosula,NA
ASV_140,Bacteria,Cyanobacteriota,Chloroplast,Chloroplast,NA,NA,NA
ASV_141,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Sporichthyaceae,hgcI-clade,NA
ASV_142,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylomonas,NA
ASV_143,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylomonas,NA
ASV_144,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,NA,NA
ASV_145,Bacteria,Cyanobacteriota,Chloroplast,Chloroplast,Geminigeraceae,Guillardia,NA
ASV_146,Bacteria,Cyanobacteriota,Chloroplast,Chloroplast,Geminigeraceae,Guillardia,NA
ASV_147,Bacteria,Actinobacteriota,Actinobacteria,PeM15,NA,NA,NA
ASV_148,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,NA,NA
ASV_149,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,NA
ASV_150,Bacteria,Cyanobacteriota,Chloroplast,Chloroplast,NA,NA,NA
ASV_151,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,NA
ASV_152,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales-Incertae-Sedis,NA,NA
ASV_153,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseomonas,NA
ASV_154,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9-marine-group,NA,NA
ASV_155,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12-marine-group,NA,NA
ASV_156,Bacteria,Cyanobacteriota,Chloroplast,Chloroplast,Thalassiosiraceae,Thalassiosira,NA
ASV_157,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,NA
ASV_158,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,SH3-11,NA
ASV_159,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Sporichthyaceae,hgcI-clade,NA
ASV_160,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,IMCC26134,NA
ASV_161,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,conjunctum
ASV_162,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,CL500-29-marine-group,NA
ASV_163,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocystis,NA
ASV_164,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12-marine-group,NA,NA
ASV_165,Bacteria,Chloroflexi,SL56-marine-group,NA,NA,NA,NA
ASV_166,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter,acidiphobus
ASV_167,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,FukuN18-freshwater-group,NA
ASV_168,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,CL500-29-marine-group,NA
ASV_169,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV_170,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,NA,NA,NA
ASV_171,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Nesterenkonia,NA
ASV_172,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus,wooponensis
ASV_173,Bacteria,Cyanobacteriota,Chloroplast,Chloroplast,Geminigeraceae,Guillardia,NA
ASV_174,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Sediminibacterium,salmoneum
ASV_175,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,NA
ASV_176,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,NA
ASV_177,Bacteria,Verrucomicrobiota,Verrucomicrobiae,NA,NA,NA,NA
ASV_178,Bacteria,Cyanobacteriota,Cyanophyceae,Pseudanabaenales,Pseudanabaenaceae,Pseudanabaena,NA
ASV_179,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,NA,NA
ASV_180,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,NA
ASV_181,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Methylacidiphilales,Methylacidiphilaceae,NA,NA
ASV_182,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV_183,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Aurantimicrobium,minutum
ASV_184,Bacteria,Cyanobacteriota,Cyanophyceae,Chroococcales,Microcystaceae,Woronichinia,NA
ASV_185,Bacteria,Cyanobacteriota,Cyanophyceae,Synechococcales,Prochlorococcaceae,Cyanobium,NA
ASV_186,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,CL500-3,NA
ASV_187,Bacteria,Cyanobacteriota,Chloroplast,Chloroplast,Geminigeraceae,Guillardia,NA
ASV_188,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,LD29,NA
ASV_189,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Sporichthyaceae,Candidatus-Planktophila,NA
ASV_190,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Limnohabitans,NA
ASV_191,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Rhodoluna,NA
ASV_192,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV_193,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Simplicispira,NA
ASV_194,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera,NA
ASV_195,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,NA,NA
ASV_196,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Silanimonas,algicola
ASV_197,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,NA,NA
ASV_198,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sandarakinorhabdus,NA
ASV_199,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,NA
ASV_200,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,NA,NA,NA
ASV_201,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,NA
ASV_202,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,NA,NA,NA
ASV_203,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,CL500-3,NA
ASV_204,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,NA,NA
ASV_205,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,NA,NA
ASV_206,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,NA,NA,NA
ASV_207,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,AKYH767,NA,NA
ASV_208,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas,NA
ASV_209,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Candidatus-Methylopumilus,NA
ASV_210,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Dinghuibacter,NA
ASV_211,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ASV_212,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,FukuN18-freshwater-group,NA
ASV_213,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,CL500-3,NA
ASV_214,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Sediminibacterium,NA
ASV_215,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,NA
ASV_216,Bacteria,Cyanobacteriota,Cyanophyceae,Synechococcales,Prochlorococcaceae,Vulcanococcus,NA
ASV_217,Bacteria,Verrucomicrobiota,Verrucomicrobiae,NA,NA,NA,NA
ASV_218,Bacteria,Proteobacteria,Alphaproteobacteria,Elsterales,Elsteraceae,Elstera,NA
ASV_219,Bacteria,Cyanobacteriota,Chloroplast,Chloroplast,NA,NA,NA
ASV_220,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,SH3-11,NA
ASV_221,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,alba
ASV_222,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseomonas,NA
ASV_223,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,NA
ASV_224,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Dinghuibacter,NA
ASV_225,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,NA,NA
ASV_226,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,NA,NA
ASV_227,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,NA,NA,NA
ASV_228,Bacteria,Verrucomicrobiota,Verrucomicrobiae,NA,NA,NA,NA
ASV_229,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Pseudarcicella,NA
ASV_230,Bacteria,Cyanobacteriota,Chloroplast,Chloroplast,Ulnariaceae,Ulnaria,NA
ASV_231,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Ornithinibacillus,NA
ASV_232,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
ASV_233,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,NA,NA
ASV_234,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,NA,NA
ASV_235,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,Terrimicrobium,NA
ASV_236,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Lautropia,NA
ASV_237,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,alphaI-cluster,NA
ASV_238,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,env.OPS-17,NA,NA
ASV_239,Bacteria,Actinobacteriota,Actinobacteria,PeM15,NA,NA,NA
ASV_240,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,NA,NA
