,16S-LM-6-1,16S-LM-6-16,16S-LM-6-19,16S-LM-6-8,16S-LM-7-14,16S-LM-7-22,16S-LM-7-28,16S-LM-7-8,16S-LM-8-12,16S-LM-8-18,16S-LM-8-26,16S-LM-8-4,16S-LM-9-1,16S-LM-9-16,16S-LM-9-9,16S-LR-6-1,16S-LR-6-16,16S-LR-6-19,16S-LR-6-8,16S-LR-7-14,16S-LR-7-22,16S-LR-7-28,16S-LR-7-8,16S-LR-8-12,16S-LR-8-18,16S-LR-8-26,16S-LR-8-4,16S-LR-9-1,16S-LR-9-16,16S-LR-9-9,16S-TTL-6-1,16S-TTL-6-16,16S-TTL-6-19,16S-TTL-6-8,16S-TTL-7-14,16S-TTL-7-22,16S-TTL-7-28,16S-TTL-7-8,16S-TTL-8-12,16S-TTL-8-18,16S-TTL-8-26,16S-TTL-8-4,16S-TTL-9-1,16S-TTL-9-16,16S-TTL-9-9
ASV_11,0,69,43,0,86,0,0,262,0,0,0,0,0,0,0,0,112,0,91,0,0,0,0,0,0,0,0,0,0,0,0,54,959,108,376,1417,327,147,0,0,0,0,0,0,0
ASV_12,45,67,0,0,168,80,64,37,786,275,0,128,74,307,0,34,0,0,55,35,52,31,0,294,128,223,0,96,228,189,0,0,0,0,0,0,0,0,69,22,57,18,103,41,81
ASV_13,0,0,0,0,0,57,432,0,442,989,1284,463,0,26,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_14,0,0,0,0,193,122,73,21,758,311,0,119,69,323,0,0,0,0,0,34,60,49,0,300,142,230,0,126,201,252,0,0,0,0,0,0,0,0,0,38,12,76,103,0,101
ASV_15,0,0,0,0,0,59,413,0,437,864,1292,472,0,53,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_16,18,0,0,0,168,101,69,22,696,245,0,93,46,235,0,0,0,0,91,62,54,38,0,267,105,214,224,99,209,218,0,0,0,0,0,0,0,0,32,31,57,0,119,0,91
ASV_17,0,0,0,0,105,62,418,40,424,865,1148,450,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_18,0,0,0,0,0,0,0,0,0,0,81,72,398,106,479,0,72,0,0,461,289,250,261,40,29,75,63,78,138,295,0,0,0,0,0,0,0,0,0,0,0,0,81,166,123
ASV_19,0,0,0,0,0,58,380,0,407,885,1251,454,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_20,0,0,0,0,0,51,455,0,405,853,1148,419,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,417,574,275,324,227,45,45,0,167,42,0,0,0,0,0,0,0,0,0,0,99,0,630,37,269
ASV_22,22,0,0,47,175,106,59,25,664,276,99,112,65,264,0,0,0,0,43,21,56,38,0,252,108,206,0,91,163,149,0,0,0,0,0,0,0,0,13,32,14,38,84,67,70
ASV_23,0,0,0,0,0,74,398,0,418,889,1104,425,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_24,86,0,0,30,0,0,72,0,96,39,0,0,42,111,169,80,256,252,322,247,54,97,105,101,87,89,0,28,0,101,0,0,0,0,0,90,0,0,162,126,62,61,90,89,122
ASV_25,0,0,0,0,0,35,337,0,346,740,1087,388,195,47,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_26,0,0,0,0,0,44,362,0,370,737,1166,446,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_27,0,0,35,0,26,115,0,219,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,802,0,302,1095,263,95,0,0,0,0,0,0,0
ASV_28,0,0,0,41,155,84,74,21,691,257,0,98,78,234,0,0,0,0,0,0,49,34,0,250,137,230,0,91,222,198,0,0,0,0,0,0,0,0,0,0,0,16,92,54,53
ASV_29,0,0,0,0,0,58,360,0,359,792,1097,419,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_30,96,92,0,26,0,0,78,0,72,36,153,135,40,116,117,74,198,174,282,172,44,75,87,66,73,74,0,50,46,73,0,0,0,0,0,0,0,45,178,115,0,55,76,100,104
ASV_31,0,0,0,0,155,85,64,0,682,254,0,104,69,282,0,0,0,0,0,28,67,49,0,241,107,198,0,102,191,193,0,0,0,0,0,0,0,0,0,33,0,0,101,0,83
ASV_32,45,0,0,0,116,84,58,29,603,220,0,85,58,250,0,35,0,0,44,39,53,23,0,220,112,202,0,65,177,150,0,0,0,0,0,0,0,0,55,34,55,15,84,37,72
ASV_33,0,0,0,0,0,44,315,0,382,703,1062,407,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_34,0,0,0,0,0,47,345,0,372,724,1000,391,0,31,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_35,0,0,0,0,0,63,350,0,342,757,1024,357,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,302,499,237,300,272,57,37,0,136,0,0,0,0,0,0,0,0,0,0,0,99,0,545,32,239
ASV_37,0,0,0,0,141,81,56,74,619,221,0,102,86,262,0,0,0,0,0,0,58,24,0,253,104,211,0,95,147,188,0,0,0,0,0,0,0,0,0,26,0,0,91,0,61
ASV_38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,337,508,210,327,216,35,46,0,138,22,0,0,0,0,0,0,44,0,0,0,68,0,557,21,204
ASV_39,44,103,78,43,0,0,0,0,0,65,0,0,42,162,71,0,146,169,214,0,0,173,0,0,198,263,0,0,0,0,129,256,0,0,0,0,0,94,0,44,0,289,0,179,111
ASV_40,103,306,39,0,204,70,471,146,342,134,174,255,210,0,95,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,126,0,0,0,0,0,0,0,0,0
ASV_41,105,21,63,0,0,0,100,160,0,45,0,0,86,40,106,58,118,112,93,183,41,56,105,56,81,52,0,156,0,41,90,0,164,119,0,193,0,0,56,50,0,46,88,90,89
ASV_42,0,0,0,0,0,59,279,0,339,686,1056,400,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_43,0,0,0,0,0,65,314,0,326,683,1007,429,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,328,538,214,282,209,30,33,0,133,42,0,0,0,0,0,0,0,0,0,0,74,0,523,27,245
ASV_45,57,97,109,44,50,37,0,56,37,32,0,0,44,69,73,0,73,75,131,218,65,49,96,103,85,41,0,0,200,0,0,60,108,84,74,0,0,79,122,71,0,99,65,138,104
ASV_46,0,0,0,0,147,91,63,100,542,204,0,92,62,209,0,81,0,0,0,0,34,0,0,166,89,150,0,82,158,178,0,0,0,0,0,0,0,0,80,50,56,0,74,65,63
ASV_47,0,58,28,0,62,0,0,177,0,0,0,0,0,0,0,0,64,0,63,0,0,0,0,0,0,0,0,0,0,0,0,39,720,0,283,988,251,94,0,0,0,0,0,0,0
ASV_48,49,82,78,58,47,69,105,36,30,22,0,0,42,53,31,161,60,36,111,189,52,109,81,107,101,63,0,69,0,0,47,52,80,79,56,178,0,71,75,58,0,79,77,97,24
ASV_49,0,0,0,0,134,69,46,0,651,233,0,104,64,252,0,0,0,0,0,0,51,36,0,204,84,204,0,83,177,188,0,0,0,0,0,0,0,0,0,37,0,16,90,0,68
ASV_50,86,0,0,74,138,71,47,0,552,229,0,118,59,213,0,0,0,0,0,60,46,26,0,199,121,167,0,89,163,155,0,0,0,0,0,0,0,0,0,25,0,0,84,0,49
ASV_51,13,0,0,36,116,80,36,19,563,192,93,87,67,194,0,0,0,0,27,9,58,27,41,211,95,187,0,73,157,131,0,0,0,0,0,0,0,0,17,23,5,30,74,32,58
ASV_52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,352,503,217,277,196,0,47,0,165,36,0,0,0,0,0,0,0,0,0,0,60,0,467,46,207
ASV_53,0,0,0,27,130,72,50,0,596,228,0,81,64,209,0,0,0,0,0,0,50,29,0,226,114,193,0,78,173,161,0,0,0,0,0,0,0,0,0,29,0,30,92,0,82
ASV_54,0,0,25,0,0,0,0,247,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,705,0,266,962,244,111,0,0,0,0,0,0,0
ASV_55,0,0,0,0,0,43,290,0,371,634,942,325,0,28,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,311,466,197,288,198,28,33,0,148,0,0,0,0,0,0,0,0,0,0,0,70,0,519,34,211
ASV_57,0,0,0,0,0,44,305,0,358,630,929,331,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,272,506,204,240,190,15,44,0,113,21,0,0,0,0,0,0,31,0,0,0,81,80,468,28,206
ASV_59,0,0,0,0,0,44,296,0,322,666,906,366,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_60,0,0,0,0,0,39,274,0,339,644,972,334,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,294,515,144,264,206,30,44,0,140,0,0,0,0,0,0,0,0,0,0,0,65,0,496,49,210
ASV_62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,249,0,72,79,0,631,308,90,189,267,553,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_63,0,0,0,0,0,39,305,0,290,683,914,345,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_64,0,0,0,0,0,0,0,0,0,0,25,0,305,0,445,0,0,196,0,424,237,241,196,40,56,50,69,78,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_65,0,0,0,0,144,79,51,38,533,201,0,98,60,253,0,0,0,0,0,0,49,32,0,217,116,183,0,76,168,149,0,0,0,0,0,0,0,0,0,27,0,0,74,0,47
ASV_66,0,0,0,0,121,71,52,0,508,217,0,107,51,211,0,0,0,0,0,32,39,28,0,191,98,191,0,88,147,160,0,0,0,0,0,0,0,0,0,21,67,31,94,0,68
ASV_67,0,18,97,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,46,668,0,253,942,234,108,0,0,0,0,0,0,0
ASV_68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,291,492,170,285,189,0,43,0,157,76,0,0,0,0,0,0,0,0,0,0,50,0,482,0,211
ASV_69,0,0,0,0,51,0,0,172,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,38,703,0,223,919,234,101,0,0,0,0,0,0,0
ASV_70,90,279,54,0,165,57,421,114,250,100,153,211,189,0,71,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,63,0,37,0,0,189,0,0,0,0,0,0,0
ASV_71,0,0,10,0,13,76,0,178,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,620,0,260,935,217,107,0,0,0,0,0,0,0
ASV_72,74,0,114,17,0,0,65,0,68,38,0,0,38,95,125,59,211,201,250,167,41,79,78,62,69,60,0,0,0,64,0,0,0,0,0,0,0,0,128,94,0,63,76,99,100
ASV_73,0,0,0,0,0,57,276,0,297,586,934,348,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_74,0,0,0,0,149,69,58,19,575,164,0,99,37,187,0,0,0,0,0,29,48,28,0,187,98,166,0,87,144,128,0,0,0,0,0,0,0,0,0,31,23,61,64,0,69
ASV_75,0,0,0,0,0,0,0,0,0,0,46,75,280,63,329,0,62,0,0,343,192,177,171,35,31,35,63,59,112,201,0,0,0,0,0,0,0,0,0,0,0,0,62,83,77
ASV_76,0,0,0,0,85,43,243,0,307,606,837,322,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_77,19,0,0,0,118,75,49,21,555,173,0,73,44,179,0,0,0,0,69,32,41,27,0,192,100,130,0,79,162,131,0,0,0,0,0,0,0,0,26,20,36,0,77,0,51
ASV_78,0,0,0,0,127,73,49,51,492,185,0,77,37,190,0,0,0,0,0,84,45,27,0,176,93,187,0,64,138,137,0,0,0,0,0,0,0,0,0,65,19,41,74,0,47
ASV_79,56,194,295,411,0,0,43,75,0,0,0,0,43,0,120,0,0,0,0,0,189,0,0,0,0,0,75,0,0,0,138,106,185,150,23,0,110,0,41,86,0,42,79,0,0
ASV_80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,297,435,186,273,187,32,28,0,106,29,0,0,0,0,0,0,0,0,0,0,53,0,475,28,180
ASV_81,0,0,69,0,122,53,46,0,558,178,0,61,46,188,0,0,0,0,0,0,46,35,0,190,108,166,0,83,151,164,0,0,0,0,0,0,0,0,0,24,0,0,75,0,70
ASV_82,0,0,0,0,0,44,249,0,334,568,838,348,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_83,0,0,0,0,0,30,298,0,312,604,819,332,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,293,450,160,239,169,124,26,0,116,0,0,0,0,0,0,0,0,0,0,0,65,0,440,0,159
ASV_85,0,0,27,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,647,0,225,935,209,109,0,0,0,0,0,0,0
ASV_86,0,0,0,0,0,38,273,0,275,549,894,313,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,305,435,191,220,191,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,54,0,485,37,202
ASV_88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,267,409,171,230,174,53,27,0,124,0,0,0,0,0,0,0,65,0,0,0,70,0,402,34,211
ASV_89,0,0,0,0,121,50,52,0,579,175,0,92,45,210,0,0,0,0,0,17,41,40,0,192,89,183,0,68,135,126,0,0,0,0,0,0,0,0,0,27,0,0,69,0,49
ASV_90,0,74,82,0,0,0,0,145,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,570,0,201,814,193,85,0,0,0,0,0,0,0
ASV_91,0,0,0,50,115,54,40,12,547,163,0,81,65,146,0,0,0,0,0,0,31,8,0,187,94,175,0,80,132,113,0,0,0,0,0,0,58,0,0,0,0,17,76,32,56
ASV_92,0,0,0,0,0,43,276,0,289,576,810,285,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_93,78,80,0,28,0,0,63,0,51,34,80,0,31,93,121,33,160,158,195,143,28,80,88,64,73,59,0,42,31,49,0,0,0,0,0,0,0,43,103,80,0,44,46,63,78
ASV_94,0,0,0,0,110,74,53,0,487,189,0,60,41,187,0,0,0,0,99,27,46,18,0,160,80,157,0,79,158,141,0,0,0,0,0,0,0,0,0,27,0,0,74,0,52
ASV_95,0,0,20,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,668,0,244,870,237,79,0,0,0,0,0,0,0
ASV_96,0,0,0,0,0,35,249,0,288,565,778,339,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_97,0,0,80,87,0,75,14,66,0,59,92,0,39,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,182,140,0,0,95,75,151,242,442,0,54,0,0,261
ASV_98,0,0,0,0,119,76,42,0,449,173,0,82,59,152,0,0,0,0,14,47,63,37,0,153,71,132,0,60,127,125,0,0,0,0,0,0,0,0,0,46,0,55,88,57,66
ASV_99,0,0,0,0,0,39,287,0,289,517,809,324,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_100,0,0,0,0,0,35,271,0,282,594,775,307,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_101,0,0,55,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,602,0,228,897,215,67,0,0,0,0,0,0,0
ASV_102,0,0,0,0,0,31,246,0,286,543,802,320,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_103,71,0,0,70,0,74,52,0,55,30,0,0,44,75,85,55,152,197,208,134,48,59,61,58,54,78,0,0,0,42,0,0,0,61,0,43,0,0,109,92,0,45,50,70,79
ASV_104,0,0,0,0,100,89,56,0,527,162,0,97,39,200,0,0,0,0,31,0,50,10,0,171,75,128,0,51,149,146,0,0,0,0,0,0,0,0,0,0,0,0,83,0,68
ASV_105,91,233,380,420,138,0,42,73,73,0,0,0,32,90,115,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,135,33,0,182,0,0,0,0,47,0,0,71,30,0,0
ASV_106,0,0,0,0,14,0,0,163,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,619,0,180,856,212,79,0,0,0,0,0,0,0
ASV_107,170,0,57,105,0,64,131,0,0,93,0,0,0,52,0,0,121,0,87,79,121,0,229,74,0,0,0,0,0,0,0,61,133,219,137,0,0,0,0,0,0,90,101,83,0
ASV_108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,237,394,169,214,185,48,23,0,120,0,0,0,0,0,0,0,0,0,0,0,62,0,427,25,153
ASV_109,0,0,0,0,112,71,41,15,445,185,0,75,47,209,0,0,0,0,0,31,39,13,0,161,95,141,0,72,107,134,0,0,0,0,0,0,0,0,0,17,1,49,69,0,64
ASV_110,67,0,0,22,0,85,36,0,54,21,0,0,50,76,92,46,164,162,189,126,37,67,86,62,76,52,0,0,0,78,0,0,0,0,0,0,0,67,118,103,0,39,57,80,80
ASV_111,0,0,0,0,76,34,220,0,271,546,731,277,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_112,0,0,0,0,97,51,33,68,396,152,0,78,39,173,0,63,0,0,0,0,34,0,0,175,97,129,0,66,129,110,0,0,0,0,0,0,0,0,66,24,48,0,55,60,42
ASV_113,78,0,0,0,0,0,49,0,45,30,0,0,33,81,100,49,189,160,234,158,33,82,72,59,89,65,0,0,0,78,0,0,0,0,0,0,0,0,113,119,0,30,40,73,103
ASV_114,0,0,0,0,0,35,228,0,242,496,807,324,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,253,383,153,235,142,0,25,0,111,40,0,0,0,0,0,0,0,0,0,0,58,0,418,35,183
ASV_116,0,0,0,0,108,69,52,0,479,157,0,86,50,173,0,0,0,0,0,0,47,43,0,169,69,162,0,71,137,138,0,0,0,0,0,0,0,0,0,0,0,0,81,0,61
ASV_117,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,589,0,238,854,198,82,0,0,0,0,0,0,0
ASV_118,57,0,0,36,0,0,54,0,61,23,0,0,35,72,77,56,189,199,196,130,38,66,74,54,69,71,0,19,0,57,0,0,0,0,0,65,0,0,102,93,0,43,55,82,75
ASV_119,0,0,0,0,0,27,227,0,293,474,740,302,0,53,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,260,392,155,238,172,0,25,0,116,0,0,0,0,0,0,0,0,0,0,0,54,0,424,0,150
ASV_121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,247,418,167,235,175,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,58,0,383,0,189
ASV_122,0,72,63,32,0,54,63,0,57,49,0,0,49,43,87,26,100,80,92,159,30,48,93,47,58,45,0,0,222,50,0,191,0,0,0,0,0,0,54,52,0,42,66,73,34
ASV_123,0,0,0,0,125,75,49,64,474,169,0,60,44,166,0,0,0,0,0,0,32,25,0,193,86,130,0,56,117,123,0,0,0,0,0,0,0,0,0,32,0,0,58,0,50
ASV_124,0,32,12,0,42,0,0,137,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,34,553,0,186,832,191,72,0,0,0,0,0,0,0
ASV_125,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,598,0,235,812,196,74,0,0,0,0,0,0,0
ASV_126,46,69,83,38,49,31,0,41,29,27,0,0,25,37,54,0,50,57,110,147,53,33,71,87,94,50,0,0,227,0,0,26,53,46,46,0,0,56,76,52,0,54,43,85,71
ASV_127,0,0,0,0,0,33,202,0,273,505,781,287,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_128,103,346,419,139,0,0,0,0,0,0,0,0,0,0,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,61,0,40,0,0,0,0,0,466,0,0,0,0,0
ASV_129,0,0,0,0,0,22,240,0,279,504,720,302,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,226,351,153,235,162,26,27,0,121,29,0,0,0,0,0,0,0,0,0,0,69,0,405,21,155
ASV_131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,280,370,133,212,155,0,65,0,84,95,0,0,0,0,0,0,0,0,0,0,66,0,350,0,160
ASV_132,71,0,0,13,0,0,49,0,57,18,0,0,32,76,104,65,162,162,207,142,32,79,92,62,68,81,0,0,0,63,0,0,0,0,0,0,0,0,93,92,0,48,58,68,76
ASV_133,62,0,0,63,98,57,44,0,427,160,0,55,38,171,0,0,0,0,0,40,27,20,0,178,93,103,0,52,128,120,0,0,0,0,0,0,0,0,0,18,0,0,64,0,49
ASV_134,0,0,0,0,0,0,0,0,0,0,58,49,219,44,267,0,0,0,0,289,173,126,132,33,21,30,58,44,95,196,0,0,0,0,0,0,0,0,0,0,0,0,46,79,79
ASV_135,0,0,0,0,114,59,47,31,454,160,0,69,31,164,0,0,0,0,0,0,44,13,0,198,87,140,0,62,120,102,0,0,0,0,0,0,0,0,0,9,0,0,71,0,52
