,18S-LM-6-1,18S-LM-6-16,18S-LM-6-19,18S-LM-6-8,18S-LM-7-14,18S-LM-7-22,18S-LM-7-28,18S-LM-7-8,18S-LM-8-12,18S-LM-8-18,18S-LM-8-26,18S-LM-8-4,18S-LM-9-1,18S-LM-9-16,18S-LM-9-9,18S-LR-6-1,18S-LR-6-16,18S-LR-6-19,18S-LR-6-8,18S-LR-7-14,18S-LR-7-22,18S-LR-7-28,18S-LR-7-8,18S-LR-8-12,18S-LR-8-18,18S-LR-8-26,18S-LR-8-4,18S-LR-9-1,18S-LR-9-16,18S-LR-9-9,18S-TTL-6-1,18S-TTL-6-16,18S-TTL-6-19,18S-TTL-6-8,18S-TTL-7-14,18S-TTL-7-22,18S-TTL-7-28,18S-TTL-7-8,18S-TTL-8-12,18S-TTL-8-18,18S-TTL-8-26,18S-TTL-8-4,18S-TTL-9-1,18S-TTL-9-16,18S-TTL-9-9,Domain,Supergroup,Division,Subdivision,Class,Order,Family,Genus,Species,Taxa
ASV_15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520,4854,7119,35,1490,3166,357,12440,362,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Carteria,Carteria_lunzensis,Chlorophyta
ASV_16,0,66,0,690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4353,0,0,371,11781,5068,2727,0,1809,1186,0,0,280,0,0,0,144,0,0,0,0,0,0,83,0,0,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,NA,NA,NA,NA,Stramenopiles
ASV_17,0,0,73,0,269,128,2153,27,87,98,241,635,22462,607,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Archaeplastida,Streptophyta,Streptophyta_X,Zygnemophyceae, Zygnemophyceae, ZygnemophyceaeX,Closterium,NA,Streptophyta
ASV_18,33,38,227,0,1250,139,144,195,0,0,0,0,0,0,0,1566,246,217,387,422,2777,70,1811,106,950,2087,536,3288,8348,618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Desmodesmus,Desmodesmus_pannonicus,Chlorophyta
ASV_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,889,911,25,8051,13717,356,1373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Obazoa,Opisthokonta,Fungi,NA,NA,NA,NA,NA,Opisthokonta_Unclassified
ASV_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,22989,842,0,342,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,TSAR,Rhizaria,Cercozoa,Filosa-SarcomoNAdea,Pansomonadida,Pansomonadida_X,Pansomonadida_XX,Pansomonadida_XX_sp.,Rhizaria
ASV_21,0,0,0,23469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,Spizellomycetales,NA,NA,NA,Opisthokonta_Chytridiomycota
ASV_22,92,265,221,0,60,0,0,182,0,0,0,0,0,0,0,2839,1471,0,5250,0,0,0,0,0,0,0,0,0,0,0,0,18,6,12439,0,0,56,0,0,0,0,0,0,0,0,Eukaryota,Obazoa,Opisthokonta,Metazoa,Gastrotricha,Gastrotricha_X,Gastrotricha_XX,Chaetonotus,NA,Opisthokonta_Gastrotricha
ASV_23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4042,0,0,2130,2050,11105,1306,252,341,72,78,759,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,Hibberdiales,Hibberdiaceae,NA,NA,Stramenopiles
ASV_24,0,0,0,0,122,0,0,0,0,0,0,0,92,2830,2273,933,1046,8875,336,445,223,0,420,48,58,0,0,0,1421,113,132,0,0,0,2130,0,0,0,0,0,0,0,0,0,0,Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Cryptomonas,Cryptomonas_curvata,Cryptophyta
