,16S-LM-6-1,16S-LM-6-16,16S-LM-6-19,16S-LM-6-8,16S-LM-7-14,16S-LM-7-22,16S-LM-7-28,16S-LM-7-8,16S-LM-8-12,16S-LM-8-18,16S-LM-8-26,16S-LM-8-4,16S-LM-9-1,16S-LM-9-16,16S-LM-9-9,16S-LR-6-1,16S-LR-6-16,16S-LR-6-19,16S-LR-6-8,16S-LR-7-14,16S-LR-7-22,16S-LR-7-28,16S-LR-7-8,16S-LR-8-12,16S-LR-8-18,16S-LR-8-26,16S-LR-8-4,16S-LR-9-1,16S-LR-9-16,16S-LR-9-9,16S-TTL-6-1,16S-TTL-6-16,16S-TTL-6-19,16S-TTL-6-8,16S-TTL-7-14,16S-TTL-7-22,16S-TTL-7-28,16S-TTL-7-8,16S-TTL-8-12,16S-TTL-8-18,16S-TTL-8-26,16S-TTL-8-4,16S-TTL-9-1,16S-TTL-9-16,16S-TTL-9-9
ASV_34,30,55,27,28,243,99,0,0,41,26,0,776,0,113,0,0,24,0,115,0,0,0,0,0,0,0,0,0,0,0,0,159,9564,22,0,5,0,579,26,24,0,0,65,127,8
ASV_35,2012,352,481,465,446,109,23,574,30,184,106,0,763,263,819,0,0,0,0,93,41,62,0,0,0,0,0,0,0,0,652,177,249,417,0,32,0,139,218,1350,44,49,602,663,380
ASV_36,0,0,0,0,2926,5451,124,578,13,32,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,8,36,0,0,0,0,0,0,0,0,0,22,45,0,884,566,938
ASV_37,132,110,124,475,625,84,132,1560,265,123,0,288,531,89,227,0,72,97,121,0,106,0,0,64,415,353,0,0,0,0,0,46,51,0,719,184,0,193,1776,1090,0,362,418,344,199
ASV_38,626,2082,452,540,1046,0,32,471,59,58,56,160,165,0,346,194,0,0,345,0,104,52,0,0,99,76,0,0,0,137,448,808,141,384,108,0,0,0,902,378,0,99,849,0,98
ASV_39,12,271,567,94,519,28,357,55,94,92,44,0,1261,92,5833,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,683,0,83,354,0,27,249,0,40
ASV_40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1240,6582,1217,2271,0,0,0,0,0,0,0,0,0,0,0
ASV_41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,413,1659,714,334,2252,4500,756,0,521,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_42,0,0,0,0,0,92,75,0,76,216,37,25,155,196,0,6,0,84,36,25,73,33,42,94,104,92,0,12,62,15,0,0,0,0,166,0,97,1159,1072,825,70,1531,1002,1824,1910
ASV_43,0,36,13,10451,0,0,0,0,0,0,0,0,0,0,0,404,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,401,300,465,1689,1364,1277,2027,407,91,273,319,322,89,1463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_45,340,706,995,469,225,149,70,485,176,176,10,0,232,270,224,0,247,228,529,771,232,244,413,244,353,268,0,284,0,247,0,31,45,0,92,42,30,31,97,209,0,198,454,671,260
ASV_46,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,72,7,14,9189,5,535,128,0,0
ASV_47,314,0,0,28,19,0,0,0,122,73,301,0,1941,0,2750,195,746,245,1915,0,121,17,75,0,0,0,0,0,0,0,0,105,147,36,0,42,43,0,210,1082,0,22,0,89,16
ASV_48,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,62,759,1052,0,789,1931,4145,16,466,110,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_49,108,440,768,144,295,173,111,495,187,94,35,0,0,0,0,47,123,114,99,163,83,0,144,62,106,181,0,98,0,32,84,755,658,465,532,218,201,361,410,340,40,852,450,497,155
ASV_50,0,0,0,31,0,21,0,0,352,0,0,0,0,0,0,0,68,96,127,3484,987,2414,247,213,1362,0,245,0,0,58,0,0,0,0,0,0,0,0,194,46,32,73,0,0,44
ASV_51,191,204,535,249,139,28,49,218,264,275,45,0,121,86,97,56,506,191,636,252,1314,395,55,53,147,202,30,351,0,0,179,47,79,223,492,95,212,0,720,514,0,226,149,319,97
