,16S-LM-6-1,16S-LM-6-16,16S-LM-6-19,16S-LM-6-8,16S-LM-7-14,16S-LM-7-22,16S-LM-7-28,16S-LM-7-8,16S-LM-8-12,16S-LM-8-18,16S-LM-8-26,16S-LM-8-4,16S-LM-9-1,16S-LM-9-16,16S-LM-9-9,16S-LR-6-1,16S-LR-6-16,16S-LR-6-19,16S-LR-6-8,16S-LR-7-14,16S-LR-7-22,16S-LR-7-28,16S-LR-7-8,16S-LR-8-12,16S-LR-8-18,16S-LR-8-26,16S-LR-8-4,16S-LR-9-1,16S-LR-9-16,16S-LR-9-9,16S-TTL-6-1,16S-TTL-6-16,16S-TTL-6-19,16S-TTL-6-8,16S-TTL-7-14,16S-TTL-7-22,16S-TTL-7-28,16S-TTL-7-8,16S-TTL-8-12,16S-TTL-8-18,16S-TTL-8-26,16S-TTL-8-4,16S-TTL-9-1,16S-TTL-9-16,16S-TTL-9-9
ASV_114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,20,0,164,259,898,255,385,70,0,1342,0,0,66,0,0,0,0,0,0,109,0,231,0,0,0,0,0,271
ASV_115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1845,1706,314,59,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1777,224,1957,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_117,61,61,68,63,0,117,136,0,112,202,0,0,99,559,47,192,70,186,127,124,123,180,475,178,109,0,60,0,254,201,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0
ASV_118,61,76,92,0,154,49,87,56,18,67,14,0,94,43,0,0,27,30,237,0,84,0,0,0,0,0,0,0,0,0,51,879,350,351,150,47,79,191,92,241,0,78,121,122,0
ASV_119,0,203,268,133,433,215,151,205,127,241,63,0,401,481,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,80,141,0,0,0,81,52,309,160
ASV_120,434,114,70,18,89,231,35,101,0,0,147,0,179,0,133,466,130,85,155,0,0,0,55,0,0,0,38,0,0,0,45,549,652,51,0,0,35,104,0,0,0,0,0,0,0
ASV_121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2952,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,293,0,260,19,34,40,23,0,0,0,0,0,0
ASV_122,128,147,381,62,139,314,39,443,29,76,49,0,331,132,142,16,117,35,156,21,0,14,0,41,151,52,0,0,0,15,26,32,100,23,27,18,0,35,26,87,9,0,182,90,76
ASV_123,105,220,39,0,284,149,433,120,1193,276,196,478,82,0,20,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,68,7,0,0,0,0,0,66,0,0
ASV_124,0,0,0,0,1540,294,0,115,0,8,0,0,0,1082,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,49,0,201,359,35
ASV_125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,140,391,583,218,0,2262,0,0,0
ASV_126,19,0,0,82,0,0,0,0,0,0,0,0,0,0,0,231,0,121,0,64,93,275,459,831,208,63,202,0,439,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_127,0,51,63,248,66,72,42,409,57,145,31,0,45,83,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,559,38,469,38,105,343,21,0,79,0,46,0,66,115
ASV_128,110,0,68,0,0,0,0,0,0,0,0,0,0,227,447,0,196,159,199,180,122,42,224,55,0,0,0,84,0,0,61,307,247,125,93,87,112,121,58,233,0,82,0,0,0
ASV_129,0,0,0,0,0,0,0,0,0,0,0,3597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_130,0,0,0,0,218,0,0,82,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536,68,1215,0,58,35,114,35,238,0,302,36,132,433
ASV_131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,764,634,348,9,0,26,12,0,12,638,0,136,0,13,0,0,0,0,714,50,0,104,0,0,0,0,0,0,0
ASV_132,311,0,0,90,0,93,0,0,112,73,0,0,72,105,21,0,0,86,87,292,0,126,159,130,110,0,0,0,0,0,111,396,227,449,0,0,0,0,0,96,0,149,122,0,0
