,18S-LM-6-1,18S-LM-6-16,18S-LM-6-19,18S-LM-6-8,18S-LM-7-14,18S-LM-7-22,18S-LM-7-28,18S-LM-7-8,18S-LM-8-12,18S-LM-8-18,18S-LM-8-26,18S-LM-8-4,18S-LM-9-1,18S-LM-9-16,18S-LM-9-9,18S-LR-6-1,18S-LR-6-16,18S-LR-6-19,18S-LR-6-8,18S-LR-7-14,18S-LR-7-22,18S-LR-7-28,18S-LR-7-8,18S-LR-8-12,18S-LR-8-18,18S-LR-8-26,18S-LR-8-4,18S-LR-9-1,18S-LR-9-16,18S-LR-9-9,18S-TTL-6-1,18S-TTL-6-16,18S-TTL-6-19,18S-TTL-6-8,18S-TTL-7-14,18S-TTL-7-22,18S-TTL-7-28,18S-TTL-7-8,18S-TTL-8-12,18S-TTL-8-18,18S-TTL-8-26,18S-TTL-8-4,18S-TTL-9-1,18S-TTL-9-16,18S-TTL-9-9
ASV_1,39493,544,37827,54,37325,380,317,7215,104953,194356,6004,259751,946,158386,91783,343,32,20,114,69,26,53,70,216,123,72,7066,146327,30683,96172,59046,95,68463,262,20367,28527,82,24629,110272,146523,123423,101580,205776,197746,123240
ASV_2,22,9197,18909,14,2273,9811,30051,0,44,18,2019,674,3187,567,0,6252,10,0,40,62,0,24,0,47156,28,24,0,5,19,15734,76,27,0,89,747,72336,56881,4682,2545,0,1451,2390,9,7,29
ASV_3,0,2429,14848,0,0,36,19,55471,8,24,80621,107,28,20,0,0,51,6404,0,24,0,94576,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,17,0
ASV_4,0,0,0,0,88,0,1323,0,57,277,20112,0,76344,245,112034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,144,0,43,0,0,0,0,0,0
ASV_5,0,0,0,0,1187,3836,78476,6877,0,0,17080,881,3239,0,2618,0,0,0,0,0,0,0,0,0,0,0,10014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_6,24,345,89,89536,0,0,0,0,30,0,0,0,0,0,0,100,0,0,62,45,0,0,17,26,33,0,0,0,16,13,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
ASV_7,12,21,0,298,0,0,0,0,55,97,0,27,0,0,0,669,553,410,2803,6234,3940,323,825,14165,5547,1881,1726,409,21139,740,0,0,0,0,21,0,0,0,51,428,40,3569,153,304,0
ASV_8,896,0,858,0,888,0,0,105,2643,2136,116,6001,0,1825,1051,0,0,0,0,0,0,0,0,0,0,0,181,3070,525,2727,1486,0,1637,0,514,786,0,604,2479,3553,2840,2441,5477,5218,2601
ASV_9,12727,803,0,1293,123,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3067,0,0,7,30,190,238,12,14316,5,3,3430,0,0,0,800,0,0,38
ASV_10,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,516,4804,7047,35,1480,3155,379,12270,365,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,879,873,25,8035,13285,345,1302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_12,0,0,0,23612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,2730,2528,2204,1836,3849,126,1982,331,1745,2678,0,769,322,622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_14,436,463,200,0,0,0,0,0,0,0,0,0,0,0,0,3642,33,0,1037,0,0,0,0,0,0,0,0,0,0,0,11643,0,0,4160,0,0,0,0,0,0,0,0,0,0,0
ASV_15,34,42,234,49,965,162,153,186,0,0,0,0,0,0,0,1243,238,200,342,388,2095,70,1437,104,851,1669,541,2569,6320,617,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0
ASV_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,49,463,128,3815,1742,4,3993,127,236,4072,244,473,1253,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,666,190,176,229,69,696,102,596,558,4999,6309,349,653,389,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_18,2153,0,1252,0,1209,0,0,735,440,448,449,112,35,444,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,814,944,0,2343,0,634,569,0,516,558,434,546,344,611,180,0
ASV_19,0,0,71,0,0,127,1471,0,84,107,271,639,11541,626,785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521,988,569,1001,2996,351,0,162,698,7072,276,314,110,153,115,0,0,0,0,0,34,0,23,0,0,0,0,185,32,25
ASV_21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,2608,2979,0,702,1369,186,7027,0,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,50,98,1761,5127,2606,1002,690,1450,417,1773,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_23,97,512,171,0,0,0,0,0,0,0,0,0,0,0,0,9854,290,114,3007,0,0,0,0,0,0,0,0,0,0,0,364,0,0,545,0,0,0,0,0,0,0,0,0,0,0
ASV_24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,13775,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
